교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자
115,87,0.497467072,13467,2659,25308.72175,5,941
323,113,0.54060219,1174,3211,39979.50338,12,2136
250,131,0.458302029,23624,1119,23326.5946,13,1271
256,122,0.461960784,21365,3030,23326.5946,13,1214
63,73,0.474336283,3858,6631,32500.0954,13,1065
63,73,0.474336283,3858,3795,32500.0954,13,1065
63,76,0.480704698,3918,1945,32500.0954,12,1126
64,74,0.474499089,3828,663,32500.0954,13,1033
66,74,0.482019893,4762,2015,32500.0954,13,1238
66,74,0.481453444,4762,771,32500.0954,13,1251
74,123,0.52883263,3731,1263,34321.39937,17,2579
78,116,0.529645698,3731,5919,34321.39937,16,2514
86,66,0.470845481,2792,1883,22467.27921,5,1321
57,65,0.502024291,3519,1611,22831.5909,7,716
69,73,0.540803898,4152,1294,25308.72175,5,793
167,113,0.470588235,24897,5229,41420.82633,8,1001
156,114,0.470829069,20138,3975,41420.82633,8,943
166,109,0.471428571,24122,668,41420.82633,8,1013
170,111,0.470009833,18064,1893,41420.82633,8,983
589,99,0.499201703,30733,617,32208.65205,18,1803
715,100,0.494364754,35556,721,32208.65205,20,1877
724,101,0.490778689,36910,754,32208.65205,20,1878
473,108,0.498658078,33531,1546,32208.65205,21,1788
429,106,0.498921251,34153,957,32208.65205,21,1780
589,99,0.499201703,30733,617,32208.65205,18,1803
126,93,0.550664452,18202,1509,24802.59456,11,1156
201,97,0.533489097,13445,2097,24802.59456,13,1229
54,54,0.511587983,390,1755,42482.92615,3,1120
84,63,0.58033241,2389,2177,16360.36538,3,686
150,70,0.521327014,24146,2059,34583.80004,5,611
168,70,0.529886914,21832,677,34583.80004,5,598
119,114,0.546107784,17307,1928,21161.56927,5,790
119,116,0.541666667,13377,1361,21161.56927,5,818
107,110,0.506297229,16925,1069,21161.56927,6,754
207,65,0.517263026,11325,6383,27888.34453,11,1541
221,77,0.511842105,10623,424,27888.34453,9,1465
68,79,0.541409147,2682,1884,22831.5909,6,776
174,74,0.490517241,15685,3072,31939.77031,15,1102
178,81,0.517708333,14077,1416,31939.77031,9,916
24,58,0.393504532,7860,5156,63564.3509,8,1264
24,58,0.393504532,7860,11039,63564.3509,8,1264
24,58,0.393504532,7860,5144,63564.3509,8,1264
24,58,0.393504532,7860,14337,63564.3509,8,1264
162,78,0.534546959,6874,895,44202.78123,16,2330
139,118,0.49010327,11760,965,18843.2556,18,1764
139,111,0.48991849,10788,2144,18843.2556,19,1767
135,109,0.488380952,10257,3774,18843.2556,18,2034
141,108,0.494980358,10897,2634,18843.2556,17,1728
139,118,0.49010327,11760,3899,18843.2556,18,1764
145,116,0.488047809,11116,1863,18843.2556,16,1933
145,116,0.488047809,11116,2830,18843.2556,16,1933
346,82,0.539177657,17715,2095,26698.17565,10,1238
102,48,0.608847497,6654,2319,10415.33542,5,835
397,114,0.535690681,17388,2717,33136.1241,93,2895
243,101,0.488335101,5607,3636,75810.43776,37,1801
253,103,0.487312273,5607,2213,75810.43776,38,1845
144,58,0.556577086,6494,752,44202.78123,14,1363
47,40,0.495774648,13530,1782,36692.49498,0,337
54,41,0.495702006,13530,5410,36692.49498,0,332
47,41,0.488764045,13530,1189,36692.49498,0,338
47,40,0.492917847,13530,2770,36692.49498,0,335
172,106,0.547375596,9656,1209,27908.211,9,1387
168,106,0.548188653,8870,920,27908.211,9,1382
164,99,0.550203528,8685,1023,27908.211,10,1389
148,100,0.537454545,6287,1708,27908.211,9,1301
152,98,0.53992674,6287,1085,27908.211,9,1291
231,90,0.519285042,15398,1475,11102.97852,14,1021
279,94,0.503018109,24784,1322,16588.93994,16,1426
238,84,0.535204567,8154,6043,26266.09208,10,2016
172,51,0.543952412,7000,729,25722.93911,8,1454
213,96,0.53248539,8272,729,23624.75283,25,2795
217,103,0.529953917,7398,1832,23624.75283,25,2709
194,80,0.543778802,9076,4724,23624.75283,24,2297
238,93,0.530881828,7556,1382,23624.75283,21,2694
237,85,0.530017153,7434,1457,23624.75283,18,2804
238,93,0.530881828,7556,2664,23624.75283,21,2694
200,66,0.504473503,8161,658,55277.9273,10,1390
218,72,0.501823867,8984,2913,55277.9273,11,1839
167,104,0.500357398,5565,981,23076.62305,8,1347
159,100,0.499640029,5565,1562,23076.62305,7,1337
313,115,0.504273504,30726,1663,31444.23906,10,1003
231,108,0.507879656,12359,1156,25681.43861,9,1350
291,113,0.437091503,12470,1223,26470.52405,11,1172
290,115,0.437552389,12470,2656,26470.52405,10,1143
292,112,0.436046512,12470,797,26470.52405,10,1153
291,113,0.437194127,12470,2669,26470.52405,11,1174
281,112,0.446190102,10407,6198,26470.52405,24,1220
285,116,0.440374123,12131,918,26470.52405,12,1229
129,97,0.42467621,13464,2049,28878.15314,13,1415
228,110,0.415055951,24132,936,9454.241349,15,1878
234,108,0.412244898,26944,4532,9454.241349,15,1874
174,102,0.411466261,20918,2905,9454.241349,16,1882
136,89,0.450686642,13284,886,34226.22895,7,762
58,78,0.486363636,12201,846,18280.3043,3,427
46,60,0.462264151,9233,2812,18280.3043,3,309
394,48,0.496235455,2555,3205,52943.28146,243,4258
98,91,0.506829268,3079,1977,30211.60385,17,1966
104,86,0.504551989,2656,1868,30211.60385,16,2007
105,87,0.511111111,3248,1541,30211.60385,17,2073
