경쟁자 수,교통 수,인허가 폐업,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종비율
77,63,201,508,31295.34849,3,0.834763948
183,74,690,903,18553.493,6,0.87816245
277,100,827,312,21621.5139,17,0.872526461
200,102,840,563,22618.54494,18,0.886299034
117,71,429,1829,12294.54395,14,0.897278314
308,97,998,5202,12294.54395,37,0.885160328
182,88,763,795,19067.69557,17,0.882504842
171,87,720,414,19067.69557,15,0.881824464
66,112,237,280,17723.4327,9,0.873076923
64,102,219,462,14397.35925,6,0.870182556
66,115,242,560,14397.35925,9,0.875471698
65,111,231,560,14397.35925,9,0.872798434
104,107,637,1093,20746.05601,18,0.929155313
168,105,594,1277,21000.83161,7,0.861728395
226,31,540,240,13854.49042,18,0.869740634
275,49,689,7042,13854.49042,23,0.871735075
268,51,677,3292,13854.49042,21,0.871091871
238,33,579,1290,13854.49042,26,0.87037037
125,94,457,1624,14497.79317,9,0.860801782
148,77,519,1249,38398.03374,9,0.865576748
126,90,425,1797,20961.26048,8,0.856492027
222,91,796,854,24959.37612,10,0.875977654
225,98,794,697,24959.37612,11,0.873310811
80,66,557,699,27888.34453,8,0.924314096
90,69,615,621,27888.34453,8,0.921942758
77,69,538,1087,27888.34453,9,0.925387597
92,77,465,584,25801.91421,8,0.900325027
208,104,853,621,27016.92851,12,0.888650964
217,98,845,943,27016.92851,11,0.885669125
222,97,848,1881,27016.92851,12,0.883586786
114,61,435,736,23521.13493,6,0.872909699
86,40,258,812,19131.085,9,0.892095358
76,33,239,3135,19131.085,7,0.896174863
144,108,594,707,15632.00087,5,0.87554019
180,116,784,1670,15632.00087,6,0.888544892
133,97,593,1189,17611.706,1,0.881882771
128,90,556,428,17611.706,2,0.877159309
125,113,524,378,22599.954,5,0.878875969
129,112,539,466,22599.954,4,0.877492877
130,105,563,1135,17611.706,4,0.881170018
121,97,527,2647,17611.706,3,0.878757515
145,70,577,1393,15599.1856,5,0.882305195
122,110,563,573,34991.12653,10,0.898586866
150,105,669,707,31444.23906,8,0.891696751
184,107,1029,1809,21672.20931,14,0.904860393
93,99,407,590,34226.22895,8,0.894557823
170,91,1007,2793,21672.20931,13,0.907457812
140,101,660,1359,19015.55315,8,0.896526238
104,90,468,2463,25308.72175,6,0.892339545
117,124,590,500,23326.5946,14,0.908235294
58,54,417,607,25308.72175,5,0.930787589
143,122,713,1099,19015.55315,10,0.90278722
169,119,650,661,41420.82633,9,0.87462908
154,123,593,784,41420.82633,10,0.874694874
154,123,593,1094,41420.82633,10,0.874694874
131,121,508,863,41420.82633,8,0.877912395
170,115,659,959,41420.82633,8,0.875091844
254,121,1462,1173,34321.39937,16,0.908633094
115,57,408,685,22467.27921,3,0.867052023
198,69,732,1842,22467.27921,9,0.871261378
163,66,631,226,22467.27921,5,0.877902622
116,57,409,1472,22467.27921,3,0.867730901
247,118,929,2707,32208.65205,20,0.869863014
245,116,928,1289,32208.65205,21,0.869542066
126,91,505,250,19037.66679,9,0.870503597
166,118,693,2643,21000.83161,7,0.879971077
209,117,838,722,23076.62305,7,0.885227897
120,112,468,2710,41420.82633,8,0.879275654
117,112,467,1572,41420.82633,8,0.881097561
119,114,480,842,41420.82633,8,0.882874016
125,113,484,4009,41420.82633,8,0.87804878
200,113,935,747,23076.62305,14,0.898887765
201,118,998,1123,28753.57343,16,0.902046784
187,117,916,835,28753.57343,14,0.903259183
211,126,993,582,28753.57343,16,0.896922325
146,114,669,501,17429.82211,17,0.897183099
237,108,929,1351,32208.65205,21,0.872785829
241,99,938,553,32208.65205,18,0.871740287
240,108,928,1096,32208.65205,21,0.871794872
241,89,907,551,32208.65205,16,0.86670354
238,102,931,580,32208.65205,19,0.872386059
86,96,343,675,9459.775182,6,0.863924051
117,91,512,1573,9459.775182,8,0.882765531
48,68,264,426,34583.80004,3,0.906432749
114,93,678,521,24802.59456,12,0.908507223
115,96,728,579,24802.59456,13,0.914434524
114,98,702,551,24802.59456,14,0.9138322
46,79,216,231,18323.99703,4,0.895454545
46,79,216,974,18323.99703,4,0.895454545
46,79,216,861,18323.99703,4,0.895454545
46,79,216,609,18323.99703,4,0.895454545
187,109,656,644,17767.94461,12,0.853102907
224,105,827,2463,17767.94461,17,0.863247863
164,94,695,664,23667.05304,10,0.884262526
96,69,490,1068,22158.3917,10,0.898947368
356,140,2188,543,25660.57992,33,0.908974687
162,57,704,1521,11903.34553,8,0.861774744
73,82,485,423,18280.3043,7,0.919247788
82,114,408,1555,21161.56927,6,0.891963109
67,78,449,653,22831.5909,6,0.918292683
92,38,365,1901,25473.53184,7,0.898342541
133,58,521,3583,63564.3509,8,0.899546828
105,42,435,2282,63564.3509,8,0.902052239
133,58,521,1552,63564.3509,8,0.899546828
174,70,760,1754,37997.64822,13,0.882511816
239,73,1268,1203,44202.78123,17,0.89898563
221,103,978,586,22618.54494,19,0.895803866
66,56,166,2193,19795.33566,8,0.868525896
79,59,175,665,19795.33566,9,0.854779412
79,56,192,836,19795.33566,14,0.860915493
139,56,591,855,10415.33542,7,0.855057351
138,52,575,1127,10415.33542,6,0.852248394
140,52,582,1128,10415.33542,6,0.851694915
140,52,582,820,10415.33542,6,0.851694915
304,71,822,866,14060.3669,29,0.867768595
31,37,144,3342,36692.49498,0,0.886446886
35,38,146,2260,36692.49498,0,0.880952381
152,102,806,857,27908.211,10,0.896528251
105,136,519,1453,25895.42956,17,0.91025641
150,95,747,930,27908.211,8,0.888143177
165,99,806,1584,27908.211,10,0.887525562
208,84,1125,2665,26266.09208,10,0.901046622
135,70,744,531,26266.09208,5,0.906574394
174,56,836,777,23320.92604,15,0.894481504
170,59,814,975,23320.92604,13,0.892541087
