경쟁자 수,교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자,타업종비율
87,324,62,0.322869955,8809,974,31098.29863,12,805,0.902466368
87,324,62,0.322869955,8809,918,31098.29863,13,805,0.902466368
107,30,69,0.431398417,2112,962,35491.54168,34,1409,0.929419525
108,32,71,0.426813472,2338,2217,35491.54168,35,1436,0.930051813
111,31,75,0.424070573,2338,3252,35491.54168,36,1476,0.930056711
138,171,71,0.359196961,8631,3119,28056.87549,14,1705,0.925122084
135,174,68,0.35451505,8631,5843,28056.87549,13,1659,0.924749164
135,170,69,0.360153257,7901,2071,28056.87549,11,1692,0.926108374
113,263,44,0.519198664,10366,181,27768.72215,9,1684,0.937117418
113,263,44,0.519198664,10366,181,27768.72215,10,1684,0.937117418
84,22,66,0.451856946,978,1821,10481.63028,18,1370,0.942228336
27,94,41,0.508474576,741,1510,13279.56162,6,1035,0.974576271
19,68,28,0.513667426,325,762,13279.56162,4,859,0.978359909
94,189,136,0.445478723,16579,4832,22681.831,15,1410,0.9375
100,194,157,0.452597403,20925,2846,22681.831,15,1440,0.935064935
100,199,159,0.457180501,22636,5701,22681.831,22,1418,0.934123847
94,189,136,0.445478723,16579,966,22681.831,15,1410,0.9375
100,199,159,0.457180501,22636,2655,22681.831,14,1418,0.934123847
138,187,87,0.528866714,6325,2843,26737.12397,16,2668,0.950819672
250,279,90,0.475814413,10865,1321,34604.20073,40,2789,0.917736097
250,279,90,0.475814413,10865,1715,34604.20073,39,2789,0.917736097
68,74,68,0.51547492,6342,831,34418.83947,5,869,0.927427962
47,185,76,0.458471761,4414,2771,14703.70065,14,856,0.947951274
78,166,93,0.347071584,1005,1737,14380.88502,13,844,0.915401302
70,168,92,0.367663344,740,635,14380.88502,13,833,0.92248062
68,171,94,0.402386117,2922,2636,14380.88502,11,854,0.926247289
92,169,73,0.492168675,4921,1708,33995.93147,11,1568,0.944578313
89,72,57,0.503759398,4145,854,33995.93147,11,1507,0.944235589
51,91,80,0.468595041,4468,1224,32500.0954,12,1159,0.95785124
52,91,82,0.467219917,4468,505,32500.0954,13,1153,0.956846473
79,245,82,0.504339441,4177,6793,27406.91783,13,958,0.923818708
118,136,134,0.379813302,10046,1153,10053.93561,15,1596,0.931155193
74,426,53,0.529064039,9001,6395,19597.38675,9,941,0.927093596
91,451,53,0.489969136,9001,1500,19597.38675,12,1205,0.929783951
105,446,52,0.479863481,9228,1728,19597.38675,11,1360,0.928327645
82,178,94,0.327423168,0,2131,16595.98649,14,764,0.903073286
77,97,64,0.364475202,1207,826,19677.17733,14,790,0.911188005
91,117,74,0.373568282,1603,867,19677.17733,13,1044,0.919823789
81,89,64,0.375,1207,3550,19677.17733,12,919,0.919
12,79,38,0.585889571,10863,1142,18611.15588,3,314,0.963190184
78,212,121,0.534900808,8007,1858,20835.35135,8,1283,0.942689199
135,74,125,0.510134082,5853,2216,48294.13887,16,3072,0.957904584
129,74,124,0.508738481,5853,3145,48294.13887,16,3018,0.95900858
121,104,101,0.494549419,6323,343,48294.13887,10,2631,0.956031977
112,88,122,0.517673049,3358,1372,34321.39937,12,2604,0.958762887
110,102,141,0.365057784,11822,638,44978.79125,24,1361,0.925220938
73,261,71,0.519869707,17638,780,33995.93147,10,1462,0.952442997
81,293,73,0.523005242,18569,854,33995.93147,14,1636,0.952824694
47,236,82,0.467773438,7445,2006,14703.70065,7,977,0.954101563
57,161,74,0.541035857,19929,1058,21634.83018,14,1198,0.954581673
78,132,101,0.475377284,9217,1344,34851.63155,23,2440,0.969023034
78,132,101,0.475377284,9217,1715,34851.63155,23,2440,0.969023034
107,221,90,0.450612245,15122,1206,42257.62962,10,1118,0.912653061
374,255,53,0.515917882,10890,2626,49970.30897,149,2987,0.888723594
415,270,53,0.516721491,10050,7602,49970.30897,161,3233,0.886239035
369,260,56,0.515197111,10751,5405,49970.30897,146,2954,0.888955763
372,266,52,0.51518797,10890,3993,49970.30897,145,2953,0.888120301
377,252,55,0.515402844,10890,2047,49970.30897,151,2999,0.888329384
375,258,53,0.515214797,11106,1125,49970.30897,146,2977,0.888126492
416,275,52,0.516486486,10180,5560,49970.30897,163,3284,0.887567568
118,180,42,0.496070727,11739,1092,58982.69862,51,900,0.884086444
442,307,52,0.503417969,5122,2117,52943.28146,177,3654,0.892089844
420,271,55,0.512787393,8849,2877,52943.28146,147,3451,0.891500904
259,233,60,0.49488189,9877,3845,52943.28146,67,2281,0.898031496
253,233,58,0.4871389,9877,5957,52943.28146,65,2274,0.899881282
57,98,64,0.483654652,6325,1631,20116.34637,13,1136,0.952221291
60,99,64,0.493726937,5559,942,20116.34637,13,1295,0.955719557
38,169,120,0.478054567,4422,1156,16017.52461,9,805,0.954922894
33,152,123,0.474619289,4596,785,16017.52461,10,755,0.958121827
55,302,122,0.478357381,14553,483,35764.16763,14,846,0.938956715
36,88,77,0.529925187,8633,1418,47422.94108,6,766,0.955112219
47,100,85,0.52893401,7925,4233,47422.94108,6,938,0.952284264
47,102,88,0.531372549,7925,2526,47422.94108,7,973,0.953921569
107,131,83,0.432131148,14586,2134,42649.78768,9,1418,0.929836066
421,406,95,0.516069221,4284,718,134994.9088,210,4433,0.913267408
102,685,82,0.535087719,12501,1203,30970.59425,20,1608,0.940350877
372,244,64,0.507185123,9194,2668,52943.28146,114,3177,0.895181741
371,240,64,0.500560852,8854,4521,52943.28146,101,3195,0.895961862
342,230,59,0.500296033,9262,9623,52943.28146,85,3036,0.898756661
63,406,68,0.498046875,11902,1872,19520.16563,14,961,0.938476563
67,415,72,0.5,11902,11262,19520.16563,18,949,0.934055118
63,415,71,0.499013807,11902,1639,19520.16563,15,951,0.937869822
73,287,68,0.471133286,9356,2911,19520.16563,14,1330,0.947968639
75,334,68,0.470817121,9134,1985,19520.16563,15,1210,0.941634241
74,354,67,0.474820144,9533,2439,19520.16563,17,1177,0.940847322
71,357,63,0.481203008,10481,1106,19520.16563,16,1126,0.940685046
76,302,73,0.465838509,10057,853,19520.16563,14,1373,0.947550035
81,216,71,0.47582205,7122,1250,44660.5002,15,1470,0.947775629
76,191,91,0.455872595,4374,1085,44660.5002,16,1431,0.949568679
45,137,51,0.501501502,3303,254,13384.80088,8,1287,0.966216216
51,130,53,0.500946372,741,2287,13384.80088,10,1534,0.967823344
70,128,95,0.441306755,4466,1135,18428.03924,8,1736,0.96124031
73,125,99,0.445131376,7852,1450,18428.03924,11,1868,0.96239052
70,125,93,0.441501104,4466,1523,18428.03924,9,1742,0.961368653
78,124,97,0.444211629,5828,2376,18428.03924,10,1831,0.959140911
265,233,56,0.505010893,10655,3255,42858.54149,62,2030,0.88453159
36,128,109,0.529850746,12249,433,27915.81412,7,902,0.961620469
62,112,73,0.487839771,5597,1631,20116.34637,13,1336,0.95565093
64,115,64,0.498654105,6161,1437,20116.34637,16,1422,0.956931359
82,136,103,0.443037975,5721,852,24959.37612,12,1972,0.960077897
347,1422,71,0.503995591,13739,2771,49884.88825,45,3282,0.904381372
337,1427,74,0.50264403,11728,3546,49884.88825,49,3256,0.906206513
337,1427,74,0.50264403,11728,2539,49884.88825,48,3256,0.906206513
347,1422,71,0.503995591,13739,2771,49884.88825,47,3282,0.904381372
347,1422,71,0.503995591,13739,3160,49884.88825,45,3282,0.904381372
75,322,70,0.306206897,10404,949,31098.29863,12,650,0.896551724
137,291,35,0.54442344,7265,4859,27812.43798,6,1979,0.935255198
104,272,34,0.543721973,10199,1471,27812.43798,4,1680,0.941704036
91,269,35,0.548448385,10199,1471,27812.43798,4,1488,0.942368588
104,269,33,0.543869516,7265,1114,27812.43798,5,1674,0.941507312
136,377,45,0.547951583,8006,1520,27812.43798,17,2012,0.936685289
73,176,97,0.331719128,0,1911,16595.98649,12,753,0.911622276
87,185,92,0.317016317,0,2150,16595.98649,13,771,0.898601399
93,148,81,0.312145289,966,948,15798.86142,18,788,0.894438138
86,118,73,0.324195471,1045,4775,15798.86142,17,753,0.89749702
86,130,79,0.32231405,966,1048,15798.86142,19,761,0.898465171
88,124,75,0.327146172,1045,1577,15798.86142,17,774,0.897911833
84,112,64,0.32675709,1207,2711,15798.86142,16,727,0.896424168
20,211,63,0.562295082,7438,1087,35001.36518,3,590,0.967213115
51,226,124,0.491353001,4258,1133,25758.71148,10,932,0.948118006
50,230,126,0.490114464,4258,859,25758.71148,8,911,0.947970864
51,227,123,0.486716259,4258,472,25758.71148,9,890,0.945802338
60,147,102,0.482063684,9853,933,18022.5886,21,2421,0.975816203
92,198,105,0.488479263,15894,1372,34152.22118,18,1427,0.939433838
109,199,56,0.447331461,8970,2200,38110.8177,16,1315,0.923455056
113,252,58,0.452413793,3653,2612,38110.8177,17,1337,0.922068966
141,171,97,0.458539264,17401,1901,42649.78768,18,1680,0.922570016
132,162,99,0.460443939,18845,803,42649.78768,11,1625,0.924871941
140,167,98,0.457080372,17707,1283,42649.78768,11,1689,0.92345544
359,502,49,0.497109827,6141,1330,18597.21201,282,2928,0.890781868
56,136,103,0.539579968,4166,715,18734.86704,12,1801,0.969843834
47,148,97,0.559796438,3621,821,18734.86704,10,1525,0.970101781
61,275,95,0.476709613,14213,4203,18178.5695,14,948,0.939544103
108,245,90,0.458248473,12273,24019,18178.5695,14,1365,0.926680244
78,276,95,0.464962902,10271,5467,18178.5695,13,1135,0.93569662
81,249,99,0.459501558,11552,3154,38359.04293,12,1203,0.936915888
254,180,57,0.496278755,3407,2541,52943.28146,76,2702,0.914073072
76,137,99,0.441176471,11623,676,19006.12565,13,1352,0.946778711
102,139,69,0.463309353,5041,755,19040.65528,15,1288,0.926618705
103,123,64,0.475052706,3545,2675,19040.65528,15,1320,0.927617709
